Team1Win,Team1GP,Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,Team1ASTRATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2GP,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,Team2ASTRATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
1,9.0,5.0,4.0,437.0,105.5,104.1,1.3,62.6,2.0,19.2,27.6,64.9,47.2,13.4,50.6,53.4,92.81,52.4,8.0,7.0,1.0,389.0,108.2,104.3,3.9,64.1,1.56,17.5,32.2,72.7,53.1,15.7,50.6,55.2,91.74,53.6
1,10.0,8.0,2.0,485.0,115.3,106.8,8.6,48.6,1.75,15.9,28.7,71.4,49.2,12.3,54.4,56.8,89.07,50.4,8.0,3.0,5.0,384.0,103.7,105.5,-1.8,62.9,1.81,18.2,23.7,72.5,48.1,13.7,50.0,53.8,95.44,49.8
0,9.0,4.0,5.0,432.0,101.2,103.9,-2.7,56.4,1.63,16.2,28.2,67.0,47.1,13.6,46.6,50.2,93.61,46.9,9.0,4.0,5.0,432.0,100.7,107.9,-7.1,59.1,1.29,16.5,31.4,69.8,51.1,17.5,48.5,53.0,92.28,48.2
0,9.0,7.0,2.0,432.0,110.5,102.6,7.9,53.9,1.47,16.2,32.9,69.1,51.1,15.2,52.0,55.6,93.17,54.3,10.0,2.0,8.0,480.0,101.0,107.5,-6.5,57.3,1.54,16.2,32.9,70.9,51.4,14.7,46.0,50.0,92.6,46.1
0,9.0,2.0,7.0,432.0,100.8,105.6,-4.8,55.1,1.42,15.7,26.7,71.3,48.3,14.9,47.7,51.3,93.17,47.1,9.0,7.0,2.0,432.0,107.4,102.4,5.0,59.1,1.55,17.3,29.4,72.8,52.2,15.2,50.7,55.5,91.06,54.1
0,8.0,5.0,3.0,384.0,111.4,105.9,5.5,57.4,1.41,17.4,35.4,69.1,52.3,17.2,53.4,56.9,93.31,51.6,8.0,3.0,5.0,384.0,106.7,107.7,-1.1,54.7,1.54,17.5,24.1,65.5,45.9,15.2,53.4,56.3,93.75,48.9
0,10.0,5.0,5.0,480.0,103.5,104.1,-0.5,67.2,1.86,18.8,25.4,71.6,47.3,13.9,48.6,53.5,96.1,50.9,10.0,3.0,7.0,485.0,102.2,103.2,-1.0,61.1,1.58,17.0,30.8,68.4,48.8,15.1,48.7,51.3,96.3,48.6
0,8.0,1.0,7.0,389.0,97.9,107.8,-9.9,58.2,1.46,16.5,32.4,69.1,50.4,15.8,45.4,48.3,93.16,44.1,9.0,3.0,6.0,432.0,97.7,101.3,-3.5,65.8,1.66,18.4,22.8,75.1,49.3,15.1,47.9,51.6,97.22,48.9
0,8.0,7.0,1.0,389.0,111.8,102.6,9.2,62.2,1.69,18.5,35.5,67.5,52.2,15.7,52.5,55.9,98.1,55.9,8.0,5.0,3.0,384.0,104.3,103.2,1.1,63.6,1.82,18.9,26.5,74.9,50.0,14.4,51.1,54.0,90.19,50.8
1,9.0,7.0,2.0,432.0,101.5,94.3,7.2,58.3,1.85,16.6,29.2,69.8,49.7,12.4,46.4,50.3,88.56,57.5,9.0,0.0,9.0,432.0,100.0,112.6,-12.6,61.1,1.47,17.4,25.8,71.3,47.4,16.1,49.0,52.4,93.22,40.3
1,9.0,5.0,4.0,437.0,108.6,105.3,3.3,63.4,1.51,17.7,32.2,67.1,50.4,16.5,51.7,55.5,97.21,50.7,8.0,1.0,7.0,384.0,105.0,110.9,-5.9,57.4,1.65,16.2,29.6,72.0,49.2,13.5,47.8,52.0,98.13,44.3
0,8.0,1.0,7.0,384.0,100.8,110.5,-9.7,55.0,1.19,14.5,37.1,72.0,53.0,17.0,44.4,49.7,91.88,41.6,8.0,5.0,3.0,384.0,105.7,103.3,2.4,57.0,1.61,17.2,27.1,77.3,52.1,14.5,52.0,55.1,98.13,50.6
0,8.0,2.0,6.0,384.0,104.7,110.6,-5.9,63.1,1.41,18.2,32.0,66.3,49.3,18.1,50.7,54.5,96.94,46.9,8.0,7.0,1.0,384.0,116.3,105.4,10.9,67.9,2.24,21.1,33.1,68.7,51.9,13.8,55.0,57.9,90.75,57.3
0,9.0,5.0,4.0,437.0,105.5,104.1,1.3,62.6,2.0,19.2,27.6,64.9,47.2,13.4,50.6,53.4,92.81,52.4,8.0,7.0,1.0,389.0,111.8,102.6,9.2,62.2,1.69,18.5,35.5,67.5,52.2,15.7,52.5,55.9,98.1,55.9
1,9.0,3.0,6.0,432.0,97.7,101.3,-3.5,65.8,1.66,18.4,22.8,75.1,49.3,15.1,47.9,51.6,97.22,48.9,8.0,6.0,2.0,384.0,111.5,100.9,10.6,52.7,1.65,16.5,28.7,71.4,51.2,13.6,52.2,56.4,92.19,57.0
0,9.0,4.0,5.0,432.0,101.2,103.9,-2.7,56.4,1.63,16.2,28.2,67.0,47.1,13.6,46.6,50.2,93.61,46.9,8.0,3.0,5.0,384.0,103.7,105.5,-1.8,62.9,1.81,18.2,23.7,72.5,48.1,13.7,50.0,53.8,95.44,49.8
1,10.0,2.0,8.0,480.0,101.0,107.5,-6.5,57.3,1.54,16.2,32.9,70.9,51.4,14.7,46.0,50.0,92.6,46.1,8.0,3.0,5.0,384.0,106.7,107.7,-1.1,54.7,1.54,17.5,24.1,65.5,45.9,15.2,53.4,56.3,93.75,48.9
1,10.0,3.0,7.0,485.0,102.2,103.2,-1.0,61.1,1.58,17.0,30.8,68.4,48.8,15.1,48.7,51.3,96.3,48.6,10.0,8.0,2.0,485.0,115.3,106.8,8.6,48.6,1.75,15.9,28.7,71.4,49.2,12.3,54.4,56.8,89.07,50.4
1,9.0,8.0,1.0,432.0,109.4,102.2,7.2,67.4,1.38,19.1,29.0,71.2,51.9,19.1,56.6,59.7,90.72,57.6,9.0,4.0,5.0,432.0,100.7,107.9,-7.1,59.1,1.29,16.5,31.4,69.8,51.1,17.5,48.5,53.0,92.28,48.2
0,8.0,1.0,7.0,389.0,97.9,107.8,-9.9,58.2,1.46,16.5,32.4,69.1,50.4,15.8,45.4,48.3,93.16,44.1,10.0,5.0,5.0,485.0,103.9,105.2,-1.3,63.0,1.8,17.8,27.9,73.8,50.4,13.8,48.7,52.3,89.91,48.7
1,8.0,6.0,2.0,384.0,111.5,100.9,10.6,52.7,1.65,16.5,28.7,71.4,51.2,13.6,52.2,56.4,92.19,57.0,7.0,2.0,5.0,336.0,102.8,112.3,-9.4,56.5,1.19,15.4,32.9,67.0,49.7,17.8,48.3,52.8,90.64,46.1
1,9.0,7.0,2.0,432.0,107.4,102.4,5.0,59.1,1.55,17.3,29.4,72.8,52.2,15.2,50.7,55.5,91.06,54.1,10.0,5.0,5.0,480.0,103.5,104.1,-0.5,67.2,1.86,18.8,25.4,71.6,47.3,13.9,48.6,53.5,96.1,50.9
0,8.0,1.0,7.0,384.0,100.8,110.5,-9.7,55.0,1.19,14.5,37.1,72.0,53.0,17.0,44.4,49.7,91.88,41.6,8.0,5.0,3.0,384.0,104.3,103.2,1.1,63.6,1.82,18.9,26.5,74.9,50.0,14.4,51.1,54.0,90.19,50.8
1,8.0,5.0,3.0,384.0,105.7,103.3,2.4,57.0,1.61,17.2,27.1,77.3,52.1,14.5,52.0,55.1,98.13,50.6,8.0,2.0,6.0,384.0,104.7,110.6,-5.9,63.1,1.41,18.2,32.0,66.3,49.3,18.1,50.7,54.5,96.94,46.9
1,9.0,5.0,4.0,437.0,105.5,104.1,1.3,62.6,2.0,19.2,27.6,64.9,47.2,13.4,50.6,53.4,92.81,52.4,8.0,1.0,7.0,384.0,105.0,110.9,-5.9,57.4,1.65,16.2,29.6,72.0,49.2,13.5,47.8,52.0,98.13,44.3
0,9.0,7.0,2.0,432.0,101.5,94.3,7.2,58.3,1.85,16.6,29.2,69.8,49.7,12.4,46.4,50.3,88.56,57.5,8.0,7.0,1.0,389.0,108.2,104.3,3.9,64.1,1.56,17.5,32.2,72.7,53.1,15.7,50.6,55.2,91.74,53.6
0,9.0,5.0,4.0,437.0,108.6,105.3,3.3,63.4,1.51,17.7,32.2,67.1,50.4,16.5,51.7,55.5,97.21,50.7,9.0,0.0,9.0,432.0,100.0,112.6,-12.6,61.1,1.47,17.4,25.8,71.3,47.4,16.1,49.0,52.4,93.22,40.3
1,7.0,2.0,5.0,336.0,102.8,112.3,-9.4,56.5,1.19,15.4,32.9,67.0,49.7,17.8,48.3,52.8,90.64,46.1,9.0,2.0,7.0,432.0,100.8,105.6,-4.8,55.1,1.42,15.7,26.7,71.3,48.3,14.9,47.7,51.3,93.17,47.1
1,9.0,4.0,5.0,432.0,100.7,107.9,-7.1,59.1,1.29,16.5,31.4,69.8,51.1,17.5,48.5,53.0,92.28,48.2,9.0,7.0,2.0,432.0,110.5,102.6,7.9,53.9,1.47,16.2,32.9,69.1,51.1,15.2,52.0,55.6,93.17,54.3
1,9.0,4.0,5.0,432.0,101.2,103.9,-2.7,56.4,1.63,16.2,28.2,67.0,47.1,13.6,46.6,50.2,93.61,46.9,9.0,8.0,1.0,432.0,109.4,102.2,7.2,67.4,1.38,19.1,29.0,71.2,51.9,19.1,56.6,59.7,90.72,57.6
0,8.0,5.0,3.0,384.0,111.4,105.9,5.5,57.4,1.41,17.4,35.4,69.1,52.3,17.2,53.4,56.9,93.31,51.6,10.0,5.0,5.0,480.0,103.5,104.1,-0.5,67.2,1.86,18.8,25.4,71.6,47.3,13.9,48.6,53.5,96.1,50.9
1,9.0,7.0,2.0,432.0,107.4,102.4,5.0,59.1,1.55,17.3,29.4,72.8,52.2,15.2,50.7,55.5,91.06,54.1,10.0,3.0,7.0,485.0,102.2,103.2,-1.0,61.1,1.58,17.0,30.8,68.4,48.8,15.1,48.7,51.3,96.3,48.6
0,8.0,3.0,5.0,384.0,103.7,105.5,-1.8,62.9,1.81,18.2,23.7,72.5,48.1,13.7,50.0,53.8,95.44,49.8,9.0,3.0,6.0,432.0,97.7,101.3,-3.5,65.8,1.66,18.4,22.8,75.1,49.3,15.1,47.9,51.6,97.22,48.9
0,9.0,5.0,4.0,437.0,108.6,105.3,3.3,63.4,1.51,17.7,32.2,67.1,50.4,16.5,51.7,55.5,97.21,50.7,8.0,7.0,1.0,389.0,111.8,102.6,9.2,62.2,1.69,18.5,35.5,67.5,52.2,15.7,52.5,55.9,98.1,55.9
1,10.0,8.0,2.0,485.0,115.3,106.8,8.6,48.6,1.75,15.9,28.7,71.4,49.2,12.3,54.4,56.8,89.07,50.4,8.0,6.0,2.0,384.0,111.5,100.9,10.6,52.7,1.65,16.5,28.7,71.4,51.2,13.6,52.2,56.4,92.19,57.0
1,8.0,7.0,1.0,389.0,108.2,104.3,3.9,64.1,1.56,17.5,32.2,72.7,53.1,15.7,50.6,55.2,91.74,53.6,8.0,7.0,1.0,384.0,116.3,105.4,10.9,67.9,2.24,21.1,33.1,68.7,51.9,13.8,55.0,57.9,90.75,57.3
1,9.0,2.0,7.0,432.0,100.8,105.6,-4.8,55.1,1.42,15.7,26.7,71.3,48.3,14.9,47.7,51.3,93.17,47.1,8.0,3.0,5.0,384.0,106.7,107.7,-1.1,54.7,1.54,17.5,24.1,65.5,45.9,15.2,53.4,56.3,93.75,48.9
0,8.0,1.0,7.0,389.0,97.9,107.8,-9.9,58.2,1.46,16.5,32.4,69.1,50.4,15.8,45.4,48.3,93.16,44.1,10.0,2.0,8.0,480.0,101.0,107.5,-6.5,57.3,1.54,16.2,32.9,70.9,51.4,14.7,46.0,50.0,92.6,46.1
1,9.0,7.0,2.0,432.0,101.5,94.3,7.2,58.3,1.85,16.6,29.2,69.8,49.7,12.4,46.4,50.3,88.56,57.5,8.0,1.0,7.0,384.0,105.0,110.9,-5.9,57.4,1.65,16.2,29.6,72.0,49.2,13.5,47.8,52.0,98.13,44.3
0,10.0,5.0,5.0,485.0,103.9,105.2,-1.3,63.0,1.8,17.8,27.9,73.8,50.4,13.8,48.7,52.3,89.91,48.7,8.0,5.0,3.0,384.0,111.4,105.9,5.5,57.4,1.41,17.4,35.4,69.1,52.3,17.2,53.4,56.9,93.31,51.6
1,8.0,5.0,3.0,384.0,104.3,103.2,1.1,63.6,1.82,18.9,26.5,74.9,50.0,14.4,51.1,54.0,90.19,50.8,8.0,5.0,3.0,384.0,105.7,103.3,2.4,57.0,1.61,17.2,27.1,77.3,52.1,14.5,52.0,55.1,98.13,50.6
1,8.0,1.0,7.0,384.0,100.8,110.5,-9.7,55.0,1.19,14.5,37.1,72.0,53.0,17.0,44.4,49.7,91.88,41.6,8.0,2.0,6.0,384.0,104.7,110.6,-5.9,63.1,1.41,18.2,32.0,66.3,49.3,18.1,50.7,54.5,96.94,46.9
1,9.0,5.0,4.0,437.0,105.5,104.1,1.3,62.6,2.0,19.2,27.6,64.9,47.2,13.4,50.6,53.4,92.81,52.4,9.0,0.0,9.0,432.0,100.0,112.6,-12.6,61.1,1.47,17.4,25.8,71.3,47.4,16.1,49.0,52.4,93.22,40.3
0,10.0,2.0,8.0,480.0,101.0,107.5,-6.5,57.3,1.54,16.2,32.9,70.9,51.4,14.7,46.0,50.0,92.6,46.1,7.0,2.0,5.0,336.0,102.8,112.3,-9.4,56.5,1.19,15.4,32.9,67.0,49.7,17.8,48.3,52.8,90.64,46.1
1,9.0,4.0,5.0,432.0,101.2,103.9,-2.7,56.4,1.63,16.2,28.2,67.0,47.1,13.6,46.6,50.2,93.61,46.9,9.0,7.0,2.0,432.0,110.5,102.6,7.9,53.9,1.47,16.2,32.9,69.1,51.1,15.2,52.0,55.6,93.17,54.3
1,9.0,2.0,7.0,432.0,100.8,105.6,-4.8,55.1,1.42,15.7,26.7,71.3,48.3,14.9,47.7,51.3,93.17,47.1,10.0,8.0,2.0,485.0,115.3,106.8,8.6,48.6,1.75,15.9,28.7,71.4,49.2,12.3,54.4,56.8,89.07,50.4
0,9.0,7.0,2.0,432.0,107.4,102.4,5.0,59.1,1.55,17.3,29.4,72.8,52.2,15.2,50.7,55.5,91.06,54.1,10.0,5.0,5.0,485.0,103.9,105.2,-1.3,63.0,1.8,17.8,27.9,73.8,50.4,13.8,48.7,52.3,89.91,48.7
1,8.0,2.0,6.0,384.0,104.7,110.6,-5.9,63.1,1.41,18.2,32.0,66.3,49.3,18.1,50.7,54.5,96.94,46.9,9.0,5.0,4.0,437.0,108.6,105.3,3.3,63.4,1.51,17.7,32.2,67.1,50.4,16.5,51.7,55.5,97.21,50.7
0,9.0,4.0,5.0,432.0,100.7,107.9,-7.1,59.1,1.29,16.5,31.4,69.8,51.1,17.5,48.5,53.0,92.28,48.2,9.0,7.0,2.0,432.0,101.5,94.3,7.2,58.3,1.85,16.6,29.2,69.8,49.7,12.4,46.4,50.3,88.56,57.5
1,8.0,6.0,2.0,384.0,111.5,100.9,10.6,52.7,1.65,16.5,28.7,71.4,51.2,13.6,52.2,56.4,92.19,57.0,8.0,5.0,3.0,384.0,104.3,103.2,1.1,63.6,1.82,18.9,26.5,74.9,50.0,14.4,51.1,54.0,90.19,50.8
1,10.0,5.0,5.0,480.0,103.5,104.1,-0.5,67.2,1.86,18.8,25.4,71.6,47.3,13.9,48.6,53.5,96.1,50.9,8.0,5.0,3.0,384.0,105.7,103.3,2.4,57.0,1.61,17.2,27.1,77.3,52.1,14.5,52.0,55.1,98.13,50.6
1,8.0,1.0,7.0,384.0,100.8,110.5,-9.7,55.0,1.19,14.5,37.1,72.0,53.0,17.0,44.4,49.7,91.88,41.6,8.0,7.0,1.0,389.0,108.2,104.3,3.9,64.1,1.56,17.5,32.2,72.7,53.1,15.7,50.6,55.2,91.74,53.6
1,8.0,5.0,3.0,384.0,111.4,105.9,5.5,57.4,1.41,17.4,35.4,69.1,52.3,17.2,53.4,56.9,93.31,51.6,10.0,2.0,8.0,480.0,101.0,107.5,-6.5,57.3,1.54,16.2,32.9,70.9,51.4,14.7,46.0,50.0,92.6,46.1
0,10.0,3.0,7.0,485.0,102.2,103.2,-1.0,61.1,1.58,17.0,30.8,68.4,48.8,15.1,48.7,51.3,96.3,48.6,8.0,1.0,7.0,389.0,97.9,107.8,-9.9,58.2,1.46,16.5,32.4,69.1,50.4,15.8,45.4,48.3,93.16,44.1
1,8.0,3.0,5.0,384.0,103.7,105.5,-1.8,62.9,1.81,18.2,23.7,72.5,48.1,13.7,50.0,53.8,95.44,49.8,9.0,4.0,5.0,432.0,101.2,103.9,-2.7,56.4,1.63,16.2,28.2,67.0,47.1,13.6,46.6,50.2,93.61,46.9
0,9.0,8.0,1.0,432.0,109.4,102.2,7.2,67.4,1.38,19.1,29.0,71.2,51.9,19.1,56.6,59.7,90.72,57.6,9.0,2.0,7.0,432.0,100.8,105.6,-4.8,55.1,1.42,15.7,26.7,71.3,48.3,14.9,47.7,51.3,93.17,47.1
0,9.0,7.0,2.0,432.0,110.5,102.6,7.9,53.9,1.47,16.2,32.9,69.1,51.1,15.2,52.0,55.6,93.17,54.3,8.0,3.0,5.0,384.0,106.7,107.7,-1.1,54.7,1.54,17.5,24.1,65.5,45.9,15.2,53.4,56.3,93.75,48.9
0,8.0,2.0,6.0,384.0,104.7,110.6,-5.9,63.1,1.41,18.2,32.0,66.3,49.3,18.1,50.7,54.5,96.94,46.9,9.0,5.0,4.0,437.0,105.5,104.1,1.3,62.6,2.0,19.2,27.6,64.9,47.2,13.4,50.6,53.4,92.81,52.4
1,8.0,7.0,1.0,389.0,108.2,104.3,3.9,64.1,1.56,17.5,32.2,72.7,53.1,15.7,50.6,55.2,91.74,53.6,9.0,0.0,9.0,432.0,100.0,112.6,-12.6,61.1,1.47,17.4,25.8,71.3,47.4,16.1,49.0,52.4,93.22,40.3
0,8.0,1.0,7.0,384.0,100.8,110.5,-9.7,55.0,1.19,14.5,37.1,72.0,53.0,17.0,44.4,49.7,91.88,41.6,8.0,1.0,7.0,384.0,105.0,110.9,-5.9,57.4,1.65,16.2,29.6,72.0,49.2,13.5,47.8,52.0,98.13,44.3
0,9.0,3.0,6.0,432.0,97.7,101.3,-3.5,65.8,1.66,18.4,22.8,75.1,49.3,15.1,47.9,51.6,97.22,48.9,8.0,7.0,1.0,389.0,111.8,102.6,9.2,62.2,1.69,18.5,35.5,67.5,52.2,15.7,52.5,55.9,98.1,55.9
1,10.0,5.0,5.0,480.0,103.5,104.1,-0.5,67.2,1.86,18.8,25.4,71.6,47.3,13.9,48.6,53.5,96.1,50.9,8.0,7.0,1.0,384.0,116.3,105.4,10.9,67.9,2.24,21.1,33.1,68.7,51.9,13.8,55.0,57.9,90.75,57.3
0,10.0,8.0,2.0,485.0,115.3,106.8,8.6,48.6,1.75,15.9,28.7,71.4,49.2,12.3,54.4,56.8,89.07,50.4,10.0,5.0,5.0,485.0,103.9,105.2,-1.3,63.0,1.8,17.8,27.9,73.8,50.4,13.8,48.7,52.3,89.91,48.7
0,8.0,6.0,2.0,384.0,111.5,100.9,10.6,52.7,1.65,16.5,28.7,71.4,51.2,13.6,52.2,56.4,92.19,57.0,8.0,5.0,3.0,384.0,105.7,103.3,2.4,57.0,1.61,17.2,27.1,77.3,52.1,14.5,52.0,55.1,98.13,50.6
1,9.0,7.0,2.0,432.0,110.5,102.6,7.9,53.9,1.47,16.2,32.9,69.1,51.1,15.2,52.0,55.6,93.17,54.3,7.0,2.0,5.0,336.0,102.8,112.3,-9.4,56.5,1.19,15.4,32.9,67.0,49.7,17.8,48.3,52.8,90.64,46.1
0,10.0,5.0,5.0,485.0,103.9,105.2,-1.3,63.0,1.8,17.8,27.9,73.8,50.4,13.8,48.7,52.3,89.91,48.7,9.0,7.0,2.0,432.0,107.4,102.4,5.0,59.1,1.55,17.3,29.4,72.8,52.2,15.2,50.7,55.5,91.06,54.1
1,9.0,4.0,5.0,432.0,101.2,103.9,-2.7,56.4,1.63,16.2,28.2,67.0,47.1,13.6,46.6,50.2,93.61,46.9,9.0,2.0,7.0,432.0,100.8,105.6,-4.8,55.1,1.42,15.7,26.7,71.3,48.3,14.9,47.7,51.3,93.17,47.1
0,10.0,3.0,7.0,485.0,102.2,103.2,-1.0,61.1,1.58,17.0,30.8,68.4,48.8,15.1,48.7,51.3,96.3,48.6,8.0,3.0,5.0,384.0,103.7,105.5,-1.8,62.9,1.81,18.2,23.7,72.5,48.1,13.7,50.0,53.8,95.44,49.8
0,10.0,8.0,2.0,485.0,115.3,106.8,8.6,48.6,1.75,15.9,28.7,71.4,49.2,12.3,54.4,56.8,89.07,50.4,10.0,2.0,8.0,480.0,101.0,107.5,-6.5,57.3,1.54,16.2,32.9,70.9,51.4,14.7,46.0,50.0,92.6,46.1
1,9.0,4.0,5.0,432.0,100.7,107.9,-7.1,59.1,1.29,16.5,31.4,69.8,51.1,17.5,48.5,53.0,92.28,48.2,8.0,5.0,3.0,384.0,111.4,105.9,5.5,57.4,1.41,17.4,35.4,69.1,52.3,17.2,53.4,56.9,93.31,51.6
0,8.0,3.0,5.0,384.0,106.7,107.7,-1.1,54.7,1.54,17.5,24.1,65.5,45.9,15.2,53.4,56.3,93.75,48.9,9.0,8.0,1.0,432.0,109.4,102.2,7.2,67.4,1.38,19.1,29.0,71.2,51.9,19.1,56.6,59.7,90.72,57.6
1,9.0,7.0,2.0,432.0,101.5,94.3,7.2,58.3,1.85,16.6,29.2,69.8,49.7,12.4,46.4,50.3,88.56,57.5,9.0,5.0,4.0,437.0,108.6,105.3,3.3,63.4,1.51,17.7,32.2,67.1,50.4,16.5,51.7,55.5,97.21,50.7
1,8.0,7.0,1.0,384.0,116.3,105.4,10.9,67.9,2.24,21.1,33.1,68.7,51.9,13.8,55.0,57.9,90.75,57.3,8.0,1.0,7.0,384.0,100.8,110.5,-9.7,55.0,1.19,14.5,37.1,72.0,53.0,17.0,44.4,49.7,91.88,41.6
0,8.0,7.0,1.0,389.0,111.8,102.6,9.2,62.2,1.69,18.5,35.5,67.5,52.2,15.7,52.5,55.9,98.1,55.9,9.0,5.0,4.0,437.0,105.5,104.1,1.3,62.6,2.0,19.2,27.6,64.9,47.2,13.4,50.6,53.4,92.81,52.4
0,8.0,1.0,7.0,384.0,105.0,110.9,-5.9,57.4,1.65,16.2,29.6,72.0,49.2,13.5,47.8,52.0,98.13,44.3,9.0,3.0,6.0,432.0,97.7,101.3,-3.5,65.8,1.66,18.4,22.8,75.1,49.3,15.1,47.9,51.6,97.22,48.9
0,10.0,5.0,5.0,480.0,103.5,104.1,-0.5,67.2,1.86,18.8,25.4,71.6,47.3,13.9,48.6,53.5,96.1,50.9,8.0,5.0,3.0,384.0,104.3,103.2,1.1,63.6,1.82,18.9,26.5,74.9,50.0,14.4,51.1,54.0,90.19,50.8
0,8.0,6.0,2.0,384.0,111.5,100.9,10.6,52.7,1.65,16.5,28.7,71.4,51.2,13.6,52.2,56.4,92.19,57.0,9.0,0.0,9.0,432.0,100.0,112.6,-12.6,61.1,1.47,17.4,25.8,71.3,47.4,16.1,49.0,52.4,93.22,40.3
0,8.0,5.0,3.0,384.0,105.7,103.3,2.4,57.0,1.61,17.2,27.1,77.3,52.1,14.5,52.0,55.1,98.13,50.6,8.0,7.0,1.0,389.0,108.2,104.3,3.9,64.1,1.56,17.5,32.2,72.7,53.1,15.7,50.6,55.2,91.74,53.6
0,10.0,3.0,7.0,485.0,102.2,103.2,-1.0,61.1,1.58,17.0,30.8,68.4,48.8,15.1,48.7,51.3,96.3,48.6,9.0,4.0,5.0,432.0,100.7,107.9,-7.1,59.1,1.29,16.5,31.4,69.8,51.1,17.5,48.5,53.0,92.28,48.2
0,8.0,3.0,5.0,384.0,106.7,107.7,-1.1,54.7,1.54,17.5,24.1,65.5,45.9,15.2,53.4,56.3,93.75,48.9,8.0,1.0,7.0,389.0,97.9,107.8,-9.9,58.2,1.46,16.5,32.4,69.1,50.4,15.8,45.4,48.3,93.16,44.1
1,8.0,2.0,6.0,384.0,104.7,110.6,-5.9,63.1,1.41,18.2,32.0,66.3,49.3,18.1,50.7,54.5,96.94,46.9,10.0,5.0,5.0,480.0,103.5,104.1,-0.5,67.2,1.86,18.8,25.4,71.6,47.3,13.9,48.6,53.5,96.1,50.9
