Team1Win,Team1GP,Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,Team1ASTRATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2GP,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,Team2ASTRATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
1,14.0,6.0,8.0,672.0,98.6,100.2,-1.6,58.2,1.32,16.1,30.4,75.0,53.2,16.7,47.2,51.1,88.11,48.7,14.0,6.0,8.0,677.0,102.7,104.3,-1.6,61.4,1.91,17.9,28.5,70.9,49.4,13.0,47.5,51.3,90.61,49.3
0,15.0,12.0,3.0,735.0,109.5,104.0,5.5,53.2,1.54,15.2,35.9,69.2,52.5,13.8,48.0,53.2,91.66,54.0,15.0,8.0,7.0,720.0,102.0,100.4,1.6,58.1,1.46,17.0,29.9,70.1,49.7,16.1,49.1,52.4,93.6,51.2
1,16.0,0.0,16.0,768.0,92.3,111.8,-19.5,58.1,1.22,15.2,29.4,69.4,48.4,16.8,43.2,47.7,91.03,38.1,12.0,9.0,3.0,581.0,112.1,99.3,12.8,64.1,1.9,19.7,25.7,72.6,50.3,14.3,54.9,58.6,93.4,58.6
1,16.0,14.0,2.0,768.0,115.5,100.6,14.9,59.7,1.72,18.9,28.0,70.4,51.2,15.1,56.2,60.1,95.81,59.2,15.0,10.0,5.0,725.0,100.9,94.5,6.4,64.8,1.59,18.8,23.5,71.8,49.3,16.0,50.8,54.4,91.03,56.1
0,15.0,8.0,7.0,730.0,106.1,101.8,4.3,51.7,1.14,14.6,30.6,67.5,50.3,17.1,49.0,54.9,93.63,53.8,16.0,9.0,7.0,773.0,98.5,98.1,0.4,49.4,1.07,13.8,31.7,72.8,51.6,17.3,46.5,50.7,90.38,50.1
1,16.0,4.0,12.0,778.0,99.5,110.9,-11.4,56.4,1.26,15.2,30.7,67.9,48.1,16.5,45.8,50.3,91.8,41.0,14.0,7.0,7.0,672.0,105.0,103.2,1.7,60.3,1.59,17.5,31.4,69.3,50.3,15.3,49.0,52.7,96.57,51.7
0,14.0,10.0,4.0,672.0,113.7,105.0,8.8,61.0,1.87,19.0,33.8,67.1,51.1,14.5,54.0,57.0,93.64,55.3,14.0,8.0,6.0,677.0,101.7,102.2,-0.5,59.7,1.27,16.7,28.5,69.2,50.0,17.8,49.1,54.0,89.44,51.1
0,16.0,13.0,3.0,768.0,105.3,100.4,4.9,52.5,1.39,15.3,34.0,67.4,50.4,15.2,48.2,52.5,89.63,52.3,13.0,6.0,7.0,649.0,105.4,105.7,-0.3,51.9,1.43,15.6,28.2,70.4,49.8,14.7,50.2,54.1,91.19,50.1
1,12.0,3.0,9.0,581.0,98.8,106.9,-8.1,55.3,1.43,15.5,27.0,68.7,47.2,14.6,45.9,50.2,93.4,43.6,14.0,4.0,10.0,677.0,105.7,112.0,-6.3,53.6,1.39,15.5,31.2,67.2,48.7,15.2,49.0,53.3,92.74,46.1
1,14.0,9.0,5.0,687.0,108.6,110.3,-1.7,64.4,1.75,18.7,35.0,74.9,55.0,15.4,50.0,53.9,92.61,50.5,14.0,9.0,5.0,672.0,108.8,103.9,4.9,54.8,1.58,16.6,32.9,68.3,50.2,14.5,51.6,53.9,90.75,52.6
1,13.0,9.0,4.0,629.0,110.3,104.7,5.6,56.8,1.6,17.2,28.0,68.9,48.6,14.7,53.4,56.2,90.81,52.5,14.0,5.0,9.0,677.0,105.0,108.8,-3.8,54.4,1.53,15.5,30.7,74.3,50.5,13.9,48.9,52.2,88.91,45.7
0,15.0,8.0,7.0,720.0,102.0,100.4,1.6,58.1,1.46,17.0,29.9,70.1,49.7,16.1,49.1,52.4,93.6,51.2,14.0,6.0,8.0,677.0,102.1,104.2,-2.1,52.4,1.22,15.1,29.5,67.7,48.9,16.6,49.1,52.9,91.89,47.0
0,15.0,10.0,5.0,725.0,100.9,94.5,6.4,64.8,1.59,18.8,23.5,71.8,49.3,16.0,50.8,54.4,91.03,56.1,13.0,8.0,5.0,639.0,101.9,95.2,6.8,64.3,1.64,17.8,35.5,71.5,53.7,15.7,46.8,49.8,88.83,55.8
1,14.0,9.0,5.0,672.0,108.8,103.9,4.9,54.8,1.58,16.6,32.9,68.3,50.2,14.5,51.6,53.9,90.75,52.6,14.0,4.0,10.0,672.0,104.7,111.0,-6.3,53.0,1.6,16.0,29.8,66.8,47.4,13.7,49.2,52.1,95.68,45.4
1,15.0,8.0,7.0,730.0,106.1,101.8,4.3,51.7,1.14,14.6,30.6,67.5,50.3,17.1,49.0,54.9,93.63,53.8,15.0,12.0,3.0,735.0,109.5,104.0,5.5,53.2,1.54,15.2,35.9,69.2,52.5,13.8,48.0,53.2,91.66,54.0
1,16.0,13.0,3.0,768.0,105.3,100.4,4.9,52.5,1.39,15.3,34.0,67.4,50.4,15.2,48.2,52.5,89.63,52.3,16.0,9.0,7.0,773.0,98.5,98.1,0.4,49.4,1.07,13.8,31.7,72.8,51.6,17.3,46.5,50.7,90.38,50.1
1,15.0,8.0,7.0,720.0,102.0,100.4,1.6,58.1,1.46,17.0,29.9,70.1,49.7,16.1,49.1,52.4,93.6,51.2,12.0,3.0,9.0,581.0,98.8,106.9,-8.1,55.3,1.43,15.5,27.0,68.7,47.2,14.6,45.9,50.2,93.4,43.6
1,16.0,4.0,12.0,778.0,99.5,110.9,-11.4,56.4,1.26,15.2,30.7,67.9,48.1,16.5,45.8,50.3,91.8,41.0,14.0,6.0,8.0,672.0,98.6,100.2,-1.6,58.2,1.32,16.1,30.4,75.0,53.2,16.7,47.2,51.1,88.11,48.7
1,14.0,4.0,10.0,677.0,105.7,112.0,-6.3,53.6,1.39,15.5,31.2,67.2,48.7,15.2,49.0,53.3,92.74,46.1,13.0,6.0,7.0,649.0,105.4,105.7,-0.3,51.9,1.43,15.6,28.2,70.4,49.8,14.7,50.2,54.1,91.19,50.1
0,16.0,0.0,16.0,768.0,92.3,111.8,-19.5,58.1,1.22,15.2,29.4,69.4,48.4,16.8,43.2,47.7,91.03,38.1,14.0,7.0,7.0,672.0,105.0,103.2,1.7,60.3,1.59,17.5,31.4,69.3,50.3,15.3,49.0,52.7,96.57,51.7
0,14.0,8.0,6.0,677.0,101.7,102.2,-0.5,59.7,1.27,16.7,28.5,69.2,50.0,17.8,49.1,54.0,89.44,51.1,16.0,14.0,2.0,768.0,115.5,100.6,14.9,59.7,1.72,18.9,28.0,70.4,51.2,15.1,56.2,60.1,95.81,59.2
1,15.0,8.0,7.0,720.0,108.8,106.8,2.0,55.6,1.6,16.9,30.6,68.9,49.9,14.5,51.2,54.9,95.43,51.0,14.0,10.0,4.0,672.0,113.7,105.0,8.8,61.0,1.87,19.0,33.8,67.1,51.1,14.5,54.0,57.0,93.64,55.3
1,16.0,3.0,13.0,768.0,104.1,111.2,-7.1,58.0,1.67,17.7,26.5,65.0,45.6,14.5,50.5,53.1,94.16,44.9,13.0,9.0,4.0,644.0,108.6,104.7,3.9,58.0,1.56,17.0,33.3,71.5,52.9,15.2,50.0,54.7,91.94,53.5
1,14.0,6.0,8.0,682.0,103.7,105.1,-1.4,59.7,1.77,17.2,29.8,69.0,48.3,13.6,48.1,51.3,93.33,48.0,14.0,9.0,5.0,687.0,108.6,110.3,-1.7,64.4,1.75,18.7,35.0,74.9,55.0,15.4,50.0,53.9,92.61,50.5
1,15.0,10.0,5.0,725.0,100.9,94.5,6.4,64.8,1.59,18.8,23.5,71.8,49.3,16.0,50.8,54.4,91.03,56.1,15.0,12.0,3.0,735.0,109.5,104.0,5.5,53.2,1.54,15.2,35.9,69.2,52.5,13.8,48.0,53.2,91.66,54.0
0,12.0,9.0,3.0,581.0,112.1,99.3,12.8,64.1,1.9,19.7,25.7,72.6,50.3,14.3,54.9,58.6,93.4,58.6,16.0,0.0,16.0,768.0,92.3,111.8,-19.5,58.1,1.22,15.2,29.4,69.4,48.4,16.8,43.2,47.7,91.03,38.1
0,13.0,6.0,7.0,649.0,105.4,105.7,-0.3,51.9,1.43,15.6,28.2,70.4,49.8,14.7,50.2,54.1,91.19,50.1,16.0,13.0,3.0,768.0,105.3,100.4,4.9,52.5,1.39,15.3,34.0,67.4,50.4,15.2,48.2,52.5,89.63,52.3
0,13.0,1.0,12.0,624.0,100.9,112.0,-11.1,56.8,1.46,15.7,27.6,67.8,47.5,14.4,47.2,51.8,94.46,44.5,14.0,8.0,6.0,677.0,101.7,102.2,-0.5,59.7,1.27,16.7,28.5,69.2,50.0,17.8,49.1,54.0,89.44,51.1
1,14.0,5.0,9.0,677.0,105.0,108.8,-3.8,54.4,1.53,15.5,30.7,74.3,50.5,13.9,48.9,52.2,88.91,45.7,14.0,6.0,8.0,677.0,102.7,104.3,-1.6,61.4,1.91,17.9,28.5,70.9,49.4,13.0,47.5,51.3,90.61,49.3
1,14.0,4.0,10.0,677.0,105.7,112.0,-6.3,53.6,1.39,15.5,31.2,67.2,48.7,15.2,49.0,53.3,92.74,46.1,14.0,7.0,7.0,672.0,105.0,103.2,1.7,60.3,1.59,17.5,31.4,69.3,50.3,15.3,49.0,52.7,96.57,51.7
0,14.0,9.0,5.0,687.0,108.6,110.3,-1.7,64.4,1.75,18.7,35.0,74.9,55.0,15.4,50.0,53.9,92.61,50.5,15.0,8.0,7.0,720.0,108.8,106.8,2.0,55.6,1.6,16.9,30.6,68.9,49.9,14.5,51.2,54.9,95.43,51.0
1,14.0,10.0,4.0,672.0,113.7,105.0,8.8,61.0,1.87,19.0,33.8,67.1,51.1,14.5,54.0,57.0,93.64,55.3,16.0,3.0,13.0,768.0,104.1,111.2,-7.1,58.0,1.67,17.7,26.5,65.0,45.6,14.5,50.5,53.1,94.16,44.9
1,14.0,4.0,10.0,672.0,104.7,111.0,-6.3,53.0,1.6,16.0,29.8,66.8,47.4,13.7,49.2,52.1,95.68,45.4,14.0,9.0,5.0,672.0,108.8,103.9,4.9,54.8,1.58,16.6,32.9,68.3,50.2,14.5,51.6,53.9,90.75,52.6
1,13.0,8.0,5.0,639.0,101.9,95.2,6.8,64.3,1.64,17.8,35.5,71.5,53.7,15.7,46.8,49.8,88.83,55.8,13.0,9.0,4.0,629.0,110.3,104.7,5.6,56.8,1.6,17.2,28.0,68.9,48.6,14.7,53.4,56.2,90.81,52.5
1,14.0,6.0,8.0,677.0,102.7,104.3,-1.6,61.4,1.91,17.9,28.5,70.9,49.4,13.0,47.5,51.3,90.61,49.3,15.0,10.0,5.0,725.0,100.9,94.5,6.4,64.8,1.59,18.8,23.5,71.8,49.3,16.0,50.8,54.4,91.03,56.1
0,14.0,6.0,8.0,677.0,102.1,104.2,-2.1,52.4,1.22,15.1,29.5,67.7,48.9,16.6,49.1,52.9,91.89,47.0,16.0,9.0,7.0,773.0,98.5,98.1,0.4,49.4,1.07,13.8,31.7,72.8,51.6,17.3,46.5,50.7,90.38,50.1
0,16.0,4.0,12.0,778.0,99.5,110.9,-11.4,56.4,1.26,15.2,30.7,67.9,48.1,16.5,45.8,50.3,91.8,41.0,12.0,3.0,9.0,581.0,98.8,106.9,-8.1,55.3,1.43,15.5,27.0,68.7,47.2,14.6,45.9,50.2,93.4,43.6
0,14.0,6.0,8.0,672.0,98.6,100.2,-1.6,58.2,1.32,16.1,30.4,75.0,53.2,16.7,47.2,51.1,88.11,48.7,15.0,8.0,7.0,730.0,106.1,101.8,4.3,51.7,1.14,14.6,30.6,67.5,50.3,17.1,49.0,54.9,93.63,53.8
0,13.0,9.0,4.0,644.0,108.6,104.7,3.9,58.0,1.56,17.0,33.3,71.5,52.9,15.2,50.0,54.7,91.94,53.5,16.0,14.0,2.0,768.0,115.5,100.6,14.9,59.7,1.72,18.9,28.0,70.4,51.2,15.1,56.2,60.1,95.81,59.2
0,14.0,6.0,8.0,682.0,103.7,105.1,-1.4,59.7,1.77,17.2,29.8,69.0,48.3,13.6,48.1,51.3,93.33,48.0,14.0,4.0,10.0,672.0,104.7,111.0,-6.3,53.0,1.6,16.0,29.8,66.8,47.4,13.7,49.2,52.1,95.68,45.4
0,15.0,8.0,7.0,720.0,102.0,100.4,1.6,58.1,1.46,17.0,29.9,70.1,49.7,16.1,49.1,52.4,93.6,51.2,16.0,0.0,16.0,768.0,92.3,111.8,-19.5,58.1,1.22,15.2,29.4,69.4,48.4,16.8,43.2,47.7,91.03,38.1
1,14.0,6.0,8.0,672.0,98.6,100.2,-1.6,58.2,1.32,16.1,30.4,75.0,53.2,16.7,47.2,51.1,88.11,48.7,15.0,12.0,3.0,735.0,109.5,104.0,5.5,53.2,1.54,15.2,35.9,69.2,52.5,13.8,48.0,53.2,91.66,54.0
1,14.0,6.0,8.0,677.0,102.1,104.2,-2.1,52.4,1.22,15.1,29.5,67.7,48.9,16.6,49.1,52.9,91.89,47.0,14.0,5.0,9.0,677.0,105.0,108.8,-3.8,54.4,1.53,15.5,30.7,74.3,50.5,13.9,48.9,52.2,88.91,45.7
0,14.0,9.0,5.0,672.0,108.8,103.9,4.9,54.8,1.58,16.6,32.9,68.3,50.2,14.5,51.6,53.9,90.75,52.6,16.0,13.0,3.0,768.0,105.3,100.4,4.9,52.5,1.39,15.3,34.0,67.4,50.4,15.2,48.2,52.5,89.63,52.3
0,15.0,8.0,7.0,730.0,106.1,101.8,4.3,51.7,1.14,14.6,30.6,67.5,50.3,17.1,49.0,54.9,93.63,53.8,14.0,7.0,7.0,672.0,105.0,103.2,1.7,60.3,1.59,17.5,31.4,69.3,50.3,15.3,49.0,52.7,96.57,51.7
1,14.0,9.0,5.0,687.0,108.6,110.3,-1.7,64.4,1.75,18.7,35.0,74.9,55.0,15.4,50.0,53.9,92.61,50.5,14.0,8.0,6.0,677.0,101.7,102.2,-0.5,59.7,1.27,16.7,28.5,69.2,50.0,17.8,49.1,54.0,89.44,51.1
1,16.0,3.0,13.0,768.0,104.1,111.2,-7.1,58.0,1.67,17.7,26.5,65.0,45.6,14.5,50.5,53.1,94.16,44.9,14.0,10.0,4.0,672.0,113.7,105.0,8.8,61.0,1.87,19.0,33.8,67.1,51.1,14.5,54.0,57.0,93.64,55.3
0,15.0,8.0,7.0,720.0,108.8,106.8,2.0,55.6,1.6,16.9,30.6,68.9,49.9,14.5,51.2,54.9,95.43,51.0,13.0,1.0,12.0,624.0,100.9,112.0,-11.1,56.8,1.46,15.7,27.6,67.8,47.5,14.4,47.2,51.8,94.46,44.5
0,16.0,14.0,2.0,768.0,115.5,100.6,14.9,59.7,1.72,18.9,28.0,70.4,51.2,15.1,56.2,60.1,95.81,59.2,13.0,9.0,4.0,644.0,108.6,104.7,3.9,58.0,1.56,17.0,33.3,71.5,52.9,15.2,50.0,54.7,91.94,53.5
1,14.0,6.0,8.0,682.0,103.7,105.1,-1.4,59.7,1.77,17.2,29.8,69.0,48.3,13.6,48.1,51.3,93.33,48.0,14.0,4.0,10.0,677.0,105.7,112.0,-6.3,53.6,1.39,15.5,31.2,67.2,48.7,15.2,49.0,53.3,92.74,46.1
1,16.0,0.0,16.0,768.0,92.3,111.8,-19.5,58.1,1.22,15.2,29.4,69.4,48.4,16.8,43.2,47.7,91.03,38.1,16.0,4.0,12.0,778.0,99.5,110.9,-11.4,56.4,1.26,15.2,30.7,67.9,48.1,16.5,45.8,50.3,91.8,41.0
1,15.0,10.0,5.0,725.0,100.9,94.5,6.4,64.8,1.59,18.8,23.5,71.8,49.3,16.0,50.8,54.4,91.03,56.1,16.0,9.0,7.0,773.0,98.5,98.1,0.4,49.4,1.07,13.8,31.7,72.8,51.6,17.3,46.5,50.7,90.38,50.1
0,14.0,5.0,9.0,677.0,105.0,108.8,-3.8,54.4,1.53,15.5,30.7,74.3,50.5,13.9,48.9,52.2,88.91,45.7,15.0,8.0,7.0,720.0,102.0,100.4,1.6,58.1,1.46,17.0,29.9,70.1,49.7,16.1,49.1,52.4,93.6,51.2
0,14.0,4.0,10.0,672.0,104.7,111.0,-6.3,53.0,1.6,16.0,29.8,66.8,47.4,13.7,49.2,52.1,95.68,45.4,13.0,6.0,7.0,649.0,105.4,105.7,-0.3,51.9,1.43,15.6,28.2,70.4,49.8,14.7,50.2,54.1,91.19,50.1
0,13.0,9.0,4.0,629.0,110.3,104.7,5.6,56.8,1.6,17.2,28.0,68.9,48.6,14.7,53.4,56.2,90.81,52.5,13.0,8.0,5.0,639.0,101.9,95.2,6.8,64.3,1.64,17.8,35.5,71.5,53.7,15.7,46.8,49.8,88.83,55.8
0,15.0,12.0,3.0,735.0,109.5,104.0,5.5,53.2,1.54,15.2,35.9,69.2,52.5,13.8,48.0,53.2,91.66,54.0,16.0,4.0,12.0,778.0,99.5,110.9,-11.4,56.4,1.26,15.2,30.7,67.9,48.1,16.5,45.8,50.3,91.8,41.0
1,14.0,6.0,8.0,677.0,102.7,104.3,-1.6,61.4,1.91,17.9,28.5,70.9,49.4,13.0,47.5,51.3,90.61,49.3,14.0,6.0,8.0,672.0,98.6,100.2,-1.6,58.2,1.32,16.1,30.4,75.0,53.2,16.7,47.2,51.1,88.11,48.7
0,12.0,9.0,3.0,581.0,112.1,99.3,12.8,64.1,1.9,19.7,25.7,72.6,50.3,14.3,54.9,58.6,93.4,58.6,15.0,10.0,5.0,725.0,100.9,94.5,6.4,64.8,1.59,18.8,23.5,71.8,49.3,16.0,50.8,54.4,91.03,56.1
0,13.0,9.0,4.0,644.0,108.6,104.7,3.9,58.0,1.56,17.0,33.3,71.5,52.9,15.2,50.0,54.7,91.94,53.5,14.0,6.0,8.0,682.0,103.7,105.1,-1.4,59.7,1.77,17.2,29.8,69.0,48.3,13.6,48.1,51.3,93.33,48.0
1,15.0,8.0,7.0,720.0,108.8,106.8,2.0,55.6,1.6,16.9,30.6,68.9,49.9,14.5,51.2,54.9,95.43,51.0,16.0,13.0,3.0,768.0,105.3,100.4,4.9,52.5,1.39,15.3,34.0,67.4,50.4,15.2,48.2,52.5,89.63,52.3
1,13.0,9.0,4.0,629.0,110.3,104.7,5.6,56.8,1.6,17.2,28.0,68.9,48.6,14.7,53.4,56.2,90.81,52.5,14.0,7.0,7.0,672.0,105.0,103.2,1.7,60.3,1.59,17.5,31.4,69.3,50.3,15.3,49.0,52.7,96.57,51.7
1,14.0,4.0,10.0,672.0,104.7,111.0,-6.3,53.0,1.6,16.0,29.8,66.8,47.4,13.7,49.2,52.1,95.68,45.4,14.0,8.0,6.0,677.0,101.7,102.2,-0.5,59.7,1.27,16.7,28.5,69.2,50.0,17.8,49.1,54.0,89.44,51.1
0,14.0,9.0,5.0,672.0,108.8,103.9,4.9,54.8,1.58,16.6,32.9,68.3,50.2,14.5,51.6,53.9,90.75,52.6,15.0,8.0,7.0,730.0,106.1,101.8,4.3,51.7,1.14,14.6,30.6,67.5,50.3,17.1,49.0,54.9,93.63,53.8
0,13.0,1.0,12.0,624.0,100.9,112.0,-11.1,56.8,1.46,15.7,27.6,67.8,47.5,14.4,47.2,51.8,94.46,44.5,14.0,10.0,4.0,672.0,113.7,105.0,8.8,61.0,1.87,19.0,33.8,67.1,51.1,14.5,54.0,57.0,93.64,55.3
0,16.0,3.0,13.0,768.0,104.1,111.2,-7.1,58.0,1.67,17.7,26.5,65.0,45.6,14.5,50.5,53.1,94.16,44.9,14.0,4.0,10.0,677.0,105.7,112.0,-6.3,53.6,1.39,15.5,31.2,67.2,48.7,15.2,49.0,53.3,92.74,46.1
0,14.0,6.0,8.0,677.0,102.1,104.2,-2.1,52.4,1.22,15.1,29.5,67.7,48.9,16.6,49.1,52.9,91.89,47.0,16.0,0.0,16.0,768.0,92.3,111.8,-19.5,58.1,1.22,15.2,29.4,69.4,48.4,16.8,43.2,47.7,91.03,38.1
0,16.0,9.0,7.0,773.0,98.5,98.1,0.4,49.4,1.07,13.8,31.7,72.8,51.6,17.3,46.5,50.7,90.38,50.1,13.0,8.0,5.0,639.0,101.9,95.2,6.8,64.3,1.64,17.8,35.5,71.5,53.7,15.7,46.8,49.8,88.83,55.8
1,14.0,9.0,5.0,672.0,108.8,103.9,4.9,54.8,1.58,16.6,32.9,68.3,50.2,14.5,51.6,53.9,90.75,52.6,13.0,1.0,12.0,624.0,100.9,112.0,-11.1,56.8,1.46,15.7,27.6,67.8,47.5,14.4,47.2,51.8,94.46,44.5
1,16.0,13.0,3.0,768.0,105.3,100.4,4.9,52.5,1.39,15.3,34.0,67.4,50.4,15.2,48.2,52.5,89.63,52.3,16.0,14.0,2.0,768.0,115.5,100.6,14.9,59.7,1.72,18.9,28.0,70.4,51.2,15.1,56.2,60.1,95.81,59.2
1,13.0,6.0,7.0,649.0,105.4,105.7,-0.3,51.9,1.43,15.6,28.2,70.4,49.8,14.7,50.2,54.1,91.19,50.1,16.0,3.0,13.0,768.0,104.1,111.2,-7.1,58.0,1.67,17.7,26.5,65.0,45.6,14.5,50.5,53.1,94.16,44.9
1,16.0,4.0,12.0,778.0,99.5,110.9,-11.4,56.4,1.26,15.2,30.7,67.9,48.1,16.5,45.8,50.3,91.8,41.0,15.0,12.0,3.0,735.0,109.5,104.0,5.5,53.2,1.54,15.2,35.9,69.2,52.5,13.8,48.0,53.2,91.66,54.0
0,12.0,9.0,3.0,581.0,112.1,99.3,12.8,64.1,1.9,19.7,25.7,72.6,50.3,14.3,54.9,58.6,93.4,58.6,14.0,5.0,9.0,677.0,105.0,108.8,-3.8,54.4,1.53,15.5,30.7,74.3,50.5,13.9,48.9,52.2,88.91,45.7
