Team1Win,Team1GP,Team1W,Team1L,Team1MIN,Team1OFFRTG,Team1DEFRTG,Team1NETRTG,Team1AST%,Team1AST/TO,Team1ASTRATIO,Team1OREB%,Team1DREB%,Team1REB%,Team1TOV%,Team1EFG%,Team1TS%,Team1PACE,Team1PIE,Team2GP,Team2W,Team2L,Team2MIN,Team2OFFRTG,Team2DEFRTG,Team2NETRTG,Team2AST%,Team2AST/TO,Team2ASTRATIO,Team2OREB%,Team2DREB%,Team2REB%,Team2TOV%,Team2EFG%,Team2TS%,Team2PACE,Team2PIE
0,9.0,6.0,3.0,432.0,109.0,108.1,1.0,57.3,2.13,17.2,29.7,71.3,50.1,11.2,50.1,53.0,90.89,49.9,9.0,1.0,8.0,432.0,100.8,116.8,-16.0,58.6,1.56,16.2,28.3,76.6,50.1,14.2,46.5,50.2,94.06,38.6
1,8.0,3.0,5.0,384.0,103.2,109.5,-6.3,50.8,1.42,15.0,29.0,67.8,48.9,14.3,48.2,51.9,92.94,47.9,7.0,5.0,2.0,341.0,107.0,106.5,0.4,66.2,1.45,18.5,30.8,73.9,52.3,18.0,53.3,55.8,92.9,48.4
0,7.0,1.0,6.0,336.0,97.4,108.5,-11.1,55.8,1.45,15.6,25.1,69.2,46.3,14.3,46.0,49.6,92.79,42.2,8.0,6.0,2.0,384.0,111.4,107.7,3.6,64.7,2.02,19.6,29.1,72.2,50.7,13.7,53.9,56.4,100.25,51.6
0,9.0,2.0,7.0,432.0,94.2,105.6,-11.4,52.2,1.37,13.8,26.4,70.4,47.5,13.3,43.3,47.2,91.61,42.8,8.0,6.0,2.0,394.0,105.4,98.5,6.9,58.6,1.57,16.7,30.2,70.9,51.5,14.6,49.8,53.1,92.28,55.1
1,8.0,3.0,5.0,384.0,99.1,105.2,-6.1,61.8,1.24,16.7,28.3,71.2,50.3,18.2,48.4,52.8,94.06,46.3,8.0,5.0,3.0,399.0,104.4,101.0,3.4,67.4,1.7,19.6,32.2,71.8,53.4,16.5,50.9,53.7,93.11,55.3
1,8.0,5.0,3.0,384.0,102.3,98.4,3.9,64.6,1.56,19.0,29.8,68.8,49.3,17.1,51.4,53.5,96.81,54.0,8.0,7.0,1.0,389.0,107.6,98.4,9.3,65.8,1.98,19.4,27.3,71.4,49.0,13.7,51.0,54.7,97.3,55.4
0,8.0,5.0,3.0,389.0,112.1,107.1,5.1,53.3,1.49,16.1,31.4,67.6,50.3,14.9,52.6,56.3,90.76,52.0,9.0,5.0,4.0,432.0,107.8,109.5,-1.6,57.5,1.84,17.3,30.1,70.2,49.4,13.1,50.0,53.4,93.67,48.4
0,8.0,3.0,5.0,384.0,106.9,106.7,0.2,61.2,1.62,18.0,30.9,70.2,50.6,15.6,52.4,54.6,92.13,50.1,8.0,5.0,3.0,384.0,104.5,98.3,6.3,58.9,1.39,15.9,33.5,70.3,52.3,15.9,47.7,52.2,93.69,55.6
1,8.0,3.0,5.0,384.0,111.6,111.9,-0.2,45.6,1.64,13.9,33.4,74.7,51.7,11.6,49.7,52.6,98.81,46.4,7.0,4.0,3.0,336.0,104.7,98.3,6.4,56.1,1.59,16.7,31.3,71.0,51.4,14.5,48.2,52.0,91.79,54.3
1,8.0,3.0,5.0,384.0,100.3,102.4,-2.2,52.8,1.38,15.4,32.3,70.9,51.3,15.4,47.5,50.1,93.19,48.4,8.0,0.0,8.0,384.0,103.3,117.3,-14.0,58.5,1.54,16.4,25.3,63.1,44.4,14.2,47.9,53.6,95.25,43.8
1,8.0,2.0,6.0,394.0,109.3,114.6,-5.3,55.8,1.57,16.2,34.9,69.1,50.6,14.5,49.2,53.1,98.44,44.5,8.0,7.0,1.0,384.0,113.1,100.0,13.1,60.2,1.82,19.4,28.0,72.7,52.3,14.7,55.9,59.1,95.81,59.1
0,9.0,6.0,3.0,432.0,109.0,108.1,1.0,57.3,2.13,17.2,29.7,71.3,50.1,11.2,50.1,53.0,90.89,49.9,9.0,3.0,6.0,432.0,108.5,109.7,-1.2,60.5,1.63,18.0,27.2,66.7,48.2,15.0,53.4,56.3,97.06,51.4
0,9.0,3.0,6.0,432.0,108.8,108.6,0.2,53.5,1.77,16.8,28.4,71.2,50.3,12.9,51.5,54.7,95.56,50.2,9.0,1.0,8.0,432.0,100.8,116.8,-16.0,58.6,1.56,16.2,28.3,76.6,50.1,14.2,46.5,50.2,94.06,38.6
0,7.0,0.0,7.0,336.0,100.3,111.4,-11.1,57.1,1.26,14.7,34.8,65.7,48.4,16.3,44.7,49.1,95.43,38.4,9.0,2.0,7.0,432.0,94.2,105.6,-11.4,52.2,1.37,13.8,26.4,70.4,47.5,13.3,43.3,47.2,91.61,42.8
0,8.0,3.0,5.0,384.0,103.2,109.5,-6.3,50.8,1.42,15.0,29.0,67.8,48.9,14.3,48.2,51.9,92.94,47.9,8.0,3.0,5.0,384.0,106.9,106.7,0.2,61.2,1.62,18.0,30.9,70.2,50.6,15.6,52.4,54.6,92.13,50.1
1,8.0,7.0,1.0,389.0,107.6,98.4,9.3,65.8,1.98,19.4,27.3,71.4,49.0,13.7,51.0,54.7,97.3,55.4,8.0,5.0,3.0,389.0,112.1,107.1,5.1,53.3,1.49,16.1,31.4,67.6,50.3,14.9,52.6,56.3,90.76,52.0
1,8.0,5.0,3.0,399.0,104.4,101.0,3.4,67.4,1.7,19.6,32.2,71.8,53.4,16.5,50.9,53.7,93.11,55.3,7.0,4.0,3.0,336.0,104.7,98.3,6.4,56.1,1.59,16.7,31.3,71.0,51.4,14.5,48.2,52.0,91.79,54.3
1,8.0,6.0,2.0,384.0,111.4,107.7,3.6,64.7,2.02,19.6,29.1,72.2,50.7,13.7,53.9,56.4,100.25,51.6,8.0,5.0,3.0,394.0,112.0,111.4,0.7,56.5,1.87,17.6,25.8,67.5,47.5,12.7,53.0,57.0,100.63,51.6
1,8.0,3.0,5.0,384.0,100.3,102.4,-2.2,52.8,1.38,15.4,32.3,70.9,51.3,15.4,47.5,50.1,93.19,48.4,8.0,5.0,3.0,384.0,102.3,98.4,3.9,64.6,1.56,19.0,29.8,68.8,49.3,17.1,51.4,53.5,96.81,54.0
0,7.0,7.0,0.0,336.0,114.6,103.8,10.8,66.7,2.25,19.4,30.3,68.2,50.4,12.2,54.0,57.4,94.29,58.7,8.0,2.0,6.0,394.0,109.3,114.6,-5.3,55.8,1.57,16.2,34.9,69.1,50.6,14.5,49.2,53.1,98.44,44.5
0,8.0,5.0,3.0,384.0,104.8,101.6,3.2,57.3,1.24,15.9,33.4,73.6,53.3,17.7,50.1,53.6,93.63,52.1,7.0,1.0,6.0,336.0,97.4,108.5,-11.1,55.8,1.45,15.6,25.1,69.2,46.3,14.3,46.0,49.6,92.79,42.2
0,9.0,6.0,3.0,432.0,109.0,108.1,1.0,57.3,2.13,17.2,29.7,71.3,50.1,11.2,50.1,53.0,90.89,49.9,9.0,3.0,6.0,432.0,108.8,108.6,0.2,53.5,1.77,16.8,28.4,71.2,50.3,12.9,51.5,54.7,95.56,50.2
1,8.0,6.0,2.0,384.0,109.9,104.8,5.1,58.1,1.4,16.1,29.6,68.8,50.2,15.5,54.0,57.7,99.56,53.9,8.0,3.0,5.0,384.0,111.6,111.9,-0.2,45.6,1.64,13.9,33.4,74.7,51.7,11.6,49.7,52.6,98.81,46.4
0,8.0,5.0,3.0,384.0,104.5,98.3,6.3,58.9,1.39,15.9,33.5,70.3,52.3,15.9,47.7,52.2,93.69,55.6,7.0,5.0,2.0,341.0,107.0,106.5,0.4,66.2,1.45,18.5,30.8,73.9,52.3,18.0,53.3,55.8,92.9,48.4
1,8.0,3.0,5.0,384.0,103.2,109.5,-6.3,50.8,1.42,15.0,29.0,67.8,48.9,14.3,48.2,51.9,92.94,47.9,8.0,6.0,2.0,394.0,105.4,98.5,6.9,58.6,1.57,16.7,30.2,70.9,51.5,14.6,49.8,53.1,92.28,55.1
1,8.0,6.0,2.0,384.0,111.4,107.7,3.6,64.7,2.02,19.6,29.1,72.2,50.7,13.7,53.9,56.4,100.25,51.6,8.0,7.0,1.0,384.0,113.1,100.0,13.1,60.2,1.82,19.4,28.0,72.7,52.3,14.7,55.9,59.1,95.81,59.1
1,7.0,0.0,7.0,336.0,100.3,111.4,-11.1,57.1,1.26,14.7,34.8,65.7,48.4,16.3,44.7,49.1,95.43,38.4,8.0,3.0,5.0,384.0,99.1,105.2,-6.1,61.8,1.24,16.7,28.3,71.2,50.3,18.2,48.4,52.8,94.06,46.3
0,8.0,5.0,3.0,384.0,104.8,101.6,3.2,57.3,1.24,15.9,33.4,73.6,53.3,17.7,50.1,53.6,93.63,52.1,9.0,3.0,6.0,432.0,108.5,109.7,-1.2,60.5,1.63,18.0,27.2,66.7,48.2,15.0,53.4,56.3,97.06,51.4
0,7.0,7.0,0.0,336.0,114.6,103.8,10.8,66.7,2.25,19.4,30.3,68.2,50.4,12.2,54.0,57.4,94.29,58.7,9.0,1.0,8.0,432.0,100.8,116.8,-16.0,58.6,1.56,16.2,28.3,76.6,50.1,14.2,46.5,50.2,94.06,38.6
1,9.0,3.0,6.0,432.0,108.8,108.6,0.2,53.5,1.77,16.8,28.4,71.2,50.3,12.9,51.5,54.7,95.56,50.2,9.0,5.0,4.0,432.0,107.8,109.5,-1.6,57.5,1.84,17.3,30.1,70.2,49.4,13.1,50.0,53.4,93.67,48.4
0,7.0,1.0,6.0,336.0,97.4,108.5,-11.1,55.8,1.45,15.6,25.1,69.2,46.3,14.3,46.0,49.6,92.79,42.2,7.0,4.0,3.0,336.0,109.3,99.1,10.2,67.7,2.19,20.5,24.5,70.8,47.8,13.1,53.3,56.1,96.43,55.5
0,9.0,2.0,7.0,432.0,94.2,105.6,-11.4,52.2,1.37,13.8,26.4,70.4,47.5,13.3,43.3,47.2,91.61,42.8,8.0,3.0,5.0,384.0,103.2,109.5,-6.3,50.8,1.42,15.0,29.0,67.8,48.9,14.3,48.2,51.9,92.94,47.9
0,8.0,7.0,1.0,384.0,113.1,100.0,13.1,60.2,1.82,19.4,28.0,72.7,52.3,14.7,55.9,59.1,95.81,59.1,8.0,3.0,5.0,384.0,111.6,111.9,-0.2,45.6,1.64,13.9,33.4,74.7,51.7,11.6,49.7,52.6,98.81,46.4
0,8.0,0.0,8.0,384.0,103.3,117.3,-14.0,58.5,1.54,16.4,25.3,63.1,44.4,14.2,47.9,53.6,95.25,43.8,9.0,3.0,6.0,432.0,108.5,109.7,-1.2,60.5,1.63,18.0,27.2,66.7,48.2,15.0,53.4,56.3,97.06,51.4
0,9.0,1.0,8.0,432.0,100.8,116.8,-16.0,58.6,1.56,16.2,28.3,76.6,50.1,14.2,46.5,50.2,94.06,38.6,7.0,7.0,0.0,336.0,114.6,103.8,10.8,66.7,2.25,19.4,30.3,68.2,50.4,12.2,54.0,57.4,94.29,58.7
1,8.0,5.0,3.0,389.0,112.1,107.1,5.1,53.3,1.49,16.1,31.4,67.6,50.3,14.9,52.6,56.3,90.76,52.0,9.0,2.0,7.0,432.0,94.2,105.6,-11.4,52.2,1.37,13.8,26.4,70.4,47.5,13.3,43.3,47.2,91.61,42.8
1,8.0,7.0,1.0,389.0,107.6,98.4,9.3,65.8,1.98,19.4,27.3,71.4,49.0,13.7,51.0,54.7,97.3,55.4,8.0,3.0,5.0,384.0,106.9,106.7,0.2,61.2,1.62,18.0,30.9,70.2,50.6,15.6,52.4,54.6,92.13,50.1
0,8.0,5.0,3.0,384.0,104.5,98.3,6.3,58.9,1.39,15.9,33.5,70.3,52.3,15.9,47.7,52.2,93.69,55.6,8.0,3.0,5.0,384.0,100.3,102.4,-2.2,52.8,1.38,15.4,32.3,70.9,51.3,15.4,47.5,50.1,93.19,48.4
0,8.0,5.0,3.0,399.0,104.4,101.0,3.4,67.4,1.7,19.6,32.2,71.8,53.4,16.5,50.9,53.7,93.11,55.3,7.0,0.0,7.0,336.0,100.3,111.4,-11.1,57.1,1.26,14.7,34.8,65.7,48.4,16.3,44.7,49.1,95.43,38.4
1,7.0,4.0,3.0,336.0,109.3,99.1,10.2,67.7,2.19,20.5,24.5,70.8,47.8,13.1,53.3,56.1,96.43,55.5,9.0,5.0,4.0,432.0,107.8,109.5,-1.6,57.5,1.84,17.3,30.1,70.2,49.4,13.1,50.0,53.4,93.67,48.4
0,8.0,6.0,2.0,394.0,105.4,98.5,6.9,58.6,1.57,16.7,30.2,70.9,51.5,14.6,49.8,53.1,92.28,55.1,8.0,3.0,5.0,384.0,99.1,105.2,-6.1,61.8,1.24,16.7,28.3,71.2,50.3,18.2,48.4,52.8,94.06,46.3
1,9.0,6.0,3.0,432.0,109.0,108.1,1.0,57.3,2.13,17.2,29.7,71.3,50.1,11.2,50.1,53.0,90.89,49.9,7.0,4.0,3.0,336.0,104.7,98.3,6.4,56.1,1.59,16.7,31.3,71.0,51.4,14.5,48.2,52.0,91.79,54.3
0,7.0,5.0,2.0,341.0,107.0,106.5,0.4,66.2,1.45,18.5,30.8,73.9,52.3,18.0,53.3,55.8,92.9,48.4,8.0,5.0,3.0,384.0,102.3,98.4,3.9,64.6,1.56,19.0,29.8,68.8,49.3,17.1,51.4,53.5,96.81,54.0
1,8.0,6.0,2.0,384.0,109.9,104.8,5.1,58.1,1.4,16.1,29.6,68.8,50.2,15.5,54.0,57.7,99.56,53.9,8.0,7.0,1.0,384.0,113.1,100.0,13.1,60.2,1.82,19.4,28.0,72.7,52.3,14.7,55.9,59.1,95.81,59.1
0,9.0,1.0,8.0,432.0,100.8,116.8,-16.0,58.6,1.56,16.2,28.3,76.6,50.1,14.2,46.5,50.2,94.06,38.6,8.0,2.0,6.0,394.0,109.3,114.6,-5.3,55.8,1.57,16.2,34.9,69.1,50.6,14.5,49.2,53.1,98.44,44.5
1,9.0,3.0,6.0,432.0,108.5,109.7,-1.2,60.5,1.63,18.0,27.2,66.7,48.2,15.0,53.4,56.3,97.06,51.4,8.0,5.0,3.0,384.0,104.8,101.6,3.2,57.3,1.24,15.9,33.4,73.6,53.3,17.7,50.1,53.6,93.63,52.1
0,7.0,1.0,6.0,336.0,97.4,108.5,-11.1,55.8,1.45,15.6,25.1,69.2,46.3,14.3,46.0,49.6,92.79,42.2,8.0,5.0,3.0,394.0,112.0,111.4,0.7,56.5,1.87,17.6,25.8,67.5,47.5,12.7,53.0,57.0,100.63,51.6
1,8.0,0.0,8.0,384.0,103.3,117.3,-14.0,58.5,1.54,16.4,25.3,63.1,44.4,14.2,47.9,53.6,95.25,43.8,9.0,3.0,6.0,432.0,108.8,108.6,0.2,53.5,1.77,16.8,28.4,71.2,50.3,12.9,51.5,54.7,95.56,50.2
1,8.0,5.0,3.0,384.0,104.5,98.3,6.3,58.9,1.39,15.9,33.5,70.3,52.3,15.9,47.7,52.2,93.69,55.6,8.0,3.0,5.0,384.0,103.2,109.5,-6.3,50.8,1.42,15.0,29.0,67.8,48.9,14.3,48.2,51.9,92.94,47.9
0,9.0,3.0,6.0,432.0,108.8,108.6,0.2,53.5,1.77,16.8,28.4,71.2,50.3,12.9,51.5,54.7,95.56,50.2,8.0,6.0,2.0,384.0,111.4,107.7,3.6,64.7,2.02,19.6,29.1,72.2,50.7,13.7,53.9,56.4,100.25,51.6
0,8.0,5.0,3.0,389.0,112.1,107.1,5.1,53.3,1.49,16.1,31.4,67.6,50.3,14.9,52.6,56.3,90.76,52.0,8.0,3.0,5.0,384.0,100.3,102.4,-2.2,52.8,1.38,15.4,32.3,70.9,51.3,15.4,47.5,50.1,93.19,48.4
1,9.0,2.0,7.0,432.0,94.2,105.6,-11.4,52.2,1.37,13.8,26.4,70.4,47.5,13.3,43.3,47.2,91.61,42.8,7.0,4.0,3.0,336.0,109.3,99.1,10.2,67.7,2.19,20.5,24.5,70.8,47.8,13.1,53.3,56.1,96.43,55.5
1,8.0,5.0,3.0,399.0,104.4,101.0,3.4,67.4,1.7,19.6,32.2,71.8,53.4,16.5,50.9,53.7,93.11,55.3,9.0,5.0,4.0,432.0,107.8,109.5,-1.6,57.5,1.84,17.3,30.1,70.2,49.4,13.1,50.0,53.4,93.67,48.4
1,8.0,7.0,1.0,389.0,107.6,98.4,9.3,65.8,1.98,19.4,27.3,71.4,49.0,13.7,51.0,54.7,97.3,55.4,7.0,5.0,2.0,341.0,107.0,106.5,0.4,66.2,1.45,18.5,30.8,73.9,52.3,18.0,53.3,55.8,92.9,48.4
1,8.0,6.0,2.0,394.0,105.4,98.5,6.9,58.6,1.57,16.7,30.2,70.9,51.5,14.6,49.8,53.1,92.28,55.1,8.0,3.0,5.0,384.0,106.9,106.7,0.2,61.2,1.62,18.0,30.9,70.2,50.6,15.6,52.4,54.6,92.13,50.1
1,8.0,5.0,3.0,384.0,102.3,98.4,3.9,64.6,1.56,19.0,29.8,68.8,49.3,17.1,51.4,53.5,96.81,54.0,8.0,3.0,5.0,384.0,99.1,105.2,-6.1,61.8,1.24,16.7,28.3,71.2,50.3,18.2,48.4,52.8,94.06,46.3
1,8.0,7.0,1.0,384.0,113.1,100.0,13.1,60.2,1.82,19.4,28.0,72.7,52.3,14.7,55.9,59.1,95.81,59.1,8.0,6.0,2.0,384.0,109.9,104.8,5.1,58.1,1.4,16.1,29.6,68.8,50.2,15.5,54.0,57.7,99.56,53.9
0,7.0,1.0,6.0,336.0,97.4,108.5,-11.1,55.8,1.45,15.6,25.1,69.2,46.3,14.3,46.0,49.6,92.79,42.2,9.0,6.0,3.0,432.0,109.0,108.1,1.0,57.3,2.13,17.2,29.7,71.3,50.1,11.2,50.1,53.0,90.89,49.9
0,9.0,3.0,6.0,432.0,108.5,109.7,-1.2,60.5,1.63,18.0,27.2,66.7,48.2,15.0,53.4,56.3,97.06,51.4,8.0,3.0,5.0,384.0,111.6,111.9,-0.2,45.6,1.64,13.9,33.4,74.7,51.7,11.6,49.7,52.6,98.81,46.4
1,8.0,5.0,3.0,394.0,112.0,111.4,0.7,56.5,1.87,17.6,25.8,67.5,47.5,12.7,53.0,57.0,100.63,51.6,8.0,2.0,6.0,394.0,109.3,114.6,-5.3,55.8,1.57,16.2,34.9,69.1,50.6,14.5,49.2,53.1,98.44,44.5
1,7.0,4.0,3.0,336.0,104.7,98.3,6.4,56.1,1.59,16.7,31.3,71.0,51.4,14.5,48.2,52.0,91.79,54.3,8.0,5.0,3.0,384.0,104.8,101.6,3.2,57.3,1.24,15.9,33.4,73.6,53.3,17.7,50.1,53.6,93.63,52.1
1,8.0,0.0,8.0,384.0,103.3,117.3,-14.0,58.5,1.54,16.4,25.3,63.1,44.4,14.2,47.9,53.6,95.25,43.8,9.0,1.0,8.0,432.0,100.8,116.8,-16.0,58.6,1.56,16.2,28.3,76.6,50.1,14.2,46.5,50.2,94.06,38.6
1,8.0,3.0,5.0,384.0,99.1,105.2,-6.1,61.8,1.24,16.7,28.3,71.2,50.3,18.2,48.4,52.8,94.06,46.3,8.0,3.0,5.0,384.0,100.3,102.4,-2.2,52.8,1.38,15.4,32.3,70.9,51.3,15.4,47.5,50.1,93.19,48.4
1,8.0,5.0,3.0,389.0,112.1,107.1,5.1,53.3,1.49,16.1,31.4,67.6,50.3,14.9,52.6,56.3,90.76,52.0,8.0,3.0,5.0,384.0,103.2,109.5,-6.3,50.8,1.42,15.0,29.0,67.8,48.9,14.3,48.2,51.9,92.94,47.9
0,7.0,0.0,7.0,336.0,100.3,111.4,-11.1,57.1,1.26,14.7,34.8,65.7,48.4,16.3,44.7,49.1,95.43,38.4,8.0,5.0,3.0,384.0,104.5,98.3,6.3,58.9,1.39,15.9,33.5,70.3,52.3,15.9,47.7,52.2,93.69,55.6
0,7.0,4.0,3.0,336.0,104.7,98.3,6.4,56.1,1.59,16.7,31.3,71.0,51.4,14.5,48.2,52.0,91.79,54.3,7.0,7.0,0.0,336.0,114.6,103.8,10.8,66.7,2.25,19.4,30.3,68.2,50.4,12.2,54.0,57.4,94.29,58.7
1,8.0,5.0,3.0,384.0,104.8,101.6,3.2,57.3,1.24,15.9,33.4,73.6,53.3,17.7,50.1,53.6,93.63,52.1,9.0,3.0,6.0,432.0,108.8,108.6,0.2,53.5,1.77,16.8,28.4,71.2,50.3,12.9,51.5,54.7,95.56,50.2
0,8.0,0.0,8.0,384.0,103.3,117.3,-14.0,58.5,1.54,16.4,25.3,63.1,44.4,14.2,47.9,53.6,95.25,43.8,8.0,6.0,2.0,384.0,111.4,107.7,3.6,64.7,2.02,19.6,29.1,72.2,50.7,13.7,53.9,56.4,100.25,51.6
1,7.0,5.0,2.0,341.0,107.0,106.5,0.4,66.2,1.45,18.5,30.8,73.9,52.3,18.0,53.3,55.8,92.9,48.4,8.0,7.0,1.0,389.0,107.6,98.4,9.3,65.8,1.98,19.4,27.3,71.4,49.0,13.7,51.0,54.7,97.3,55.4
0,9.0,5.0,4.0,432.0,107.8,109.5,-1.6,57.5,1.84,17.3,30.1,70.2,49.4,13.1,50.0,53.4,93.67,48.4,8.0,5.0,3.0,384.0,102.3,98.4,3.9,64.6,1.56,19.0,29.8,68.8,49.3,17.1,51.4,53.5,96.81,54.0
1,9.0,2.0,7.0,432.0,94.2,105.6,-11.4,52.2,1.37,13.8,26.4,70.4,47.5,13.3,43.3,47.2,91.61,42.8,8.0,3.0,5.0,384.0,106.9,106.7,0.2,61.2,1.62,18.0,30.9,70.2,50.6,15.6,52.4,54.6,92.13,50.1
0,9.0,3.0,6.0,432.0,108.5,109.7,-1.2,60.5,1.63,18.0,27.2,66.7,48.2,15.0,53.4,56.3,97.06,51.4,8.0,2.0,6.0,394.0,109.3,114.6,-5.3,55.8,1.57,16.2,34.9,69.1,50.6,14.5,49.2,53.1,98.44,44.5
0,8.0,3.0,5.0,384.0,111.6,111.9,-0.2,45.6,1.64,13.9,33.4,74.7,51.7,11.6,49.7,52.6,98.81,46.4,8.0,6.0,2.0,394.0,105.4,98.5,6.9,58.6,1.57,16.7,30.2,70.9,51.5,14.6,49.8,53.1,92.28,55.1
1,7.0,4.0,3.0,336.0,109.3,99.1,10.2,67.7,2.19,20.5,24.5,70.8,47.8,13.1,53.3,56.1,96.43,55.5,8.0,5.0,3.0,399.0,104.4,101.0,3.4,67.4,1.7,19.6,32.2,71.8,53.4,16.5,50.9,53.7,93.11,55.3
0,9.0,6.0,3.0,432.0,109.0,108.1,1.0,57.3,2.13,17.2,29.7,71.3,50.1,11.2,50.1,53.0,90.89,49.9,8.0,6.0,2.0,384.0,109.9,104.8,5.1,58.1,1.4,16.1,29.6,68.8,50.2,15.5,54.0,57.7,99.56,53.9
1,7.0,1.0,6.0,336.0,97.4,108.5,-11.1,55.8,1.45,15.6,25.1,69.2,46.3,14.3,46.0,49.6,92.79,42.2,8.0,7.0,1.0,384.0,113.1,100.0,13.1,60.2,1.82,19.4,28.0,72.7,52.3,14.7,55.9,59.1,95.81,59.1
1,8.0,5.0,3.0,394.0,112.0,111.4,0.7,56.5,1.87,17.6,25.8,67.5,47.5,12.7,53.0,57.0,100.63,51.6,9.0,1.0,8.0,432.0,100.8,116.8,-16.0,58.6,1.56,16.2,28.3,76.6,50.1,14.2,46.5,50.2,94.06,38.6
0,8.0,6.0,2.0,384.0,109.9,104.8,5.1,58.1,1.4,16.1,29.6,68.8,50.2,15.5,54.0,57.7,99.56,53.9,9.0,2.0,7.0,432.0,94.2,105.6,-11.4,52.2,1.37,13.8,26.4,70.4,47.5,13.3,43.3,47.2,91.61,42.8
1,8.0,3.0,5.0,384.0,106.9,106.7,0.2,61.2,1.62,18.0,30.9,70.2,50.6,15.6,52.4,54.6,92.13,50.1,7.0,5.0,2.0,341.0,107.0,106.5,0.4,66.2,1.45,18.5,30.8,73.9,52.3,18.0,53.3,55.8,92.9,48.4
0,8.0,5.0,3.0,384.0,102.3,98.4,3.9,64.6,1.56,19.0,29.8,68.8,49.3,17.1,51.4,53.5,96.81,54.0,7.0,0.0,7.0,336.0,100.3,111.4,-11.1,57.1,1.26,14.7,34.8,65.7,48.4,16.3,44.7,49.1,95.43,38.4
1,8.0,3.0,5.0,384.0,99.1,105.2,-6.1,61.8,1.24,16.7,28.3,71.2,50.3,18.2,48.4,52.8,94.06,46.3,7.0,4.0,3.0,336.0,109.3,99.1,10.2,67.7,2.19,20.5,24.5,70.8,47.8,13.1,53.3,56.1,96.43,55.5
